# Image list with two lines of data per image:
#   IMAGE_ID, QW, QX, QY, QZ, TX, TY, TZ, CAMERA_ID, NAME
#   POINTS2D[] as (X, Y, POINT3D_ID)
1 0.74696467 -0.17828315 -0.14869919 -0.62301480 -0.00000000 -0.00000000 -5.28488410 1 view_001.jpg

2 0.57971427 -0.39645630 -0.40184810 -0.58759839 0.00000000 -0.00000000 -5.28488410 2 view_002.jpg

3 0.90163996 -0.39503539 -0.07064804 -0.16124910 -0.00000000 -0.00000000 -5.28488410 3 view_003.jpg

4 0.29616186 -0.11248063 -0.33676177 -0.88669486 0.00000000 -0.00000000 -5.28488410 4 view_004.jpg

5 0.59899492 -0.62913330 -0.35877097 -0.34158419 0.00000000 0.00000000 -5.28488410 5 view_005.jpg

6 0.90367180 -0.18199334 0.07652914 0.37999867 0.00000000 -0.00000000 -5.28488410 6 view_006.jpg

7 0.31923243 -0.29229717 -0.60877084 -0.66486922 -0.00000000 -0.00000000 -5.28488410 7 view_007.jpg

8 0.72781372 -0.67736561 -0.07294176 -0.07837423 0.00000000 0.00000000 -5.28488410 8 view_008.jpg

9 0.20998857 -0.07282752 0.31947387 0.92116090 0.00000000 0.00000000 -5.28488410 9 view_009.jpg

10 0.35605706 -0.61527101 -0.60874067 -0.35227795 0.00000000 0.00000000 -5.28488410 10 view_010.jpg

11 0.81278783 -0.48793431 0.16381335 0.27287587 0.00000000 -0.00000000 -5.28488410 11 view_011.jpg

12 0.07423928 -0.06501883 -0.65562971 -0.74860588 0.00000000 0.00000000 -5.28488410 12 view_012.jpg

13 0.45738305 -0.86328603 -0.18856553 -0.09990510 0.00000000 0.00000000 -5.28488410 13 view_013.jpg

14 0.56267519 -0.28746419 0.35262907 0.69022729 0.00000000 0.00000000 -5.28488410 14 view_014.jpg

15 0.15901005 -0.32646704 -0.83766110 -0.40799381 0.00000000 0.00000000 -5.28488410 15 view_015.jpg

16 0.61425903 -0.74899409 0.19205537 0.15750691 -0.00000000 0.00000000 -5.28488410 16 view_016.jpg

17 0.18974406 -0.16441345 0.63388381 0.73154407 0.00000000 -0.00000000 -5.28488410 17 view_017.jpg

18 0.15426845 -0.86465117 -0.47066739 -0.08397505 -0.00000000 -0.00000000 -5.28488410 18 view_018.jpg

19 0.57533580 -0.53639214 0.42106597 0.45163661 -0.00000000 -0.00000000 -5.28488410 19 view_019.jpg

20 0.02592267 -0.04899999 0.88256669 0.46690797 0.00000000 -0.00000000 -5.28488410 20 view_020.jpg

21 0.32599435 -0.89382283 0.28927085 0.10550263 -0.00000000 -0.00000000 -5.28488410 21 view_021.jpg

22 0.33935490 -0.40585600 0.65100986 0.54433934 -0.00000000 0.00000000 -5.28488410 22 view_022.jpg

23 0.05675785 -0.31239479 0.93298147 0.16950994 -0.00000000 0.00000000 -5.28488410 23 view_023.jpg

24 0.31568277 -0.65977177 0.61515296 0.29433389 -0.00000000 -0.00000000 -5.28488410 24 view_024.jpg

