# Image list with two lines of data per image:
#   IMAGE_ID, QW, QX, QY, QZ, TX, TY, TZ, CAMERA_ID, NAME
#   POINTS2D[] as (X, Y, POINT3D_ID)
1 0.22838590 0.00000000 0.97267861 0.04166785 -0.00000000 -0.45162647 3.89220824 1 view_001.jpg

2 0.52495666 0.29310211 0.77164222 -0.20755707 0.00000000 -0.93191428 3.36268137 2 view_002.jpg

3 0.37642828 0.91594537 -0.00000002 -0.13908931 -0.00000000 -0.73514399 3.67791247 3 view_003.jpg

4 0.28230080 -0.93482507 -0.00645796 0.21532916 0.00000000 -0.66383547 3.74787999 4 view_004.jpg

5 0.25747284 0.67951221 -0.11720774 -0.67692927 0.00000000 -0.99879729 2.95094930 5 view_005.jpg

6 0.12730808 -0.09329784 -0.97586742 -0.15090044 -0.00000000 -0.38708683 3.92204435 6 view_006.jpg

7 0.59836701 -0.14183690 0.72376979 -0.31304393 -0.00000000 -0.99612846 3.08792094 7 view_007.jpg

8 0.14504495 0.00000000 0.73202140 0.66566255 -0.00000000 -0.99742647 3.07171074 8 view_008.jpg

9 0.16603365 -0.07842507 -0.94153180 0.28248931 -0.00000000 -0.61916019 3.78526598 9 view_009.jpg

10 0.45208186 -0.42430430 0.26616207 0.73806883 0.00000000 -0.86703587 2.50175227 10 view_010.jpg

11 0.42997088 0.85551334 -0.05641124 0.28291296 0.00000000 -0.88257645 3.47017105 11 view_011.jpg

12 0.12940289 0.00000000 0.75227809 -0.64601282 0.00000000 -0.99127141 3.13184461 12 view_012.jpg

13 0.80316168 0.46816689 -0.00000002 -0.36844413 0.00000000 -0.82738293 2.43836000 13 view_013.jpg

14 0.45319997 -0.10225201 -0.88462510 0.03990919 -0.00000000 -0.81028716 3.58603474 14 view_014.jpg

15 0.60836327 0.00000000 0.43788484 -0.66192975 0.00000000 -0.78734496 2.38348567 15 view_015.jpg

16 0.37207345 0.00000000 -0.63413137 -0.67781911 -0.00000000 -0.98065385 2.80424498 16 view_016.jpg

17 0.48185807 -0.23723990 -0.71754914 0.44345604 0.00000000 -0.98982182 3.14231921 17 view_017.jpg

18 0.53440173 0.17564325 -0.00000002 -0.82677944 0.00000000 -0.34582578 2.06170019 18 view_018.jpg

19 0.29605302 0.71545896 -0.15200559 0.61430073 -0.00000000 -0.99754983 3.06997390 19 view_019.jpg

20 0.07619168 0.01151268 -0.46748517 0.88063608 0.00000000 -0.82669609 2.43734950 20 view_020.jpg

21 0.67029609 0.05745227 -0.33779040 -0.65825529 0.00000000 -0.64380070 2.23480548 21 view_021.jpg

22 0.68881747 0.00000000 -0.64145696 0.33773282 0.00000000 -0.98419999 2.82293395 22 view_022.jpg

23 0.98369051 -0.14487062 -0.10472620 -0.01994790 0.00000000 -0.35176133 2.06390921 23 view_023.jpg

24 0.06306189 0.43161111 -0.00000013 0.89985279 -0.00000000 -0.77867866 2.37257547 24 view_024.jpg

