# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR
1 -1.000000 -1.000000 2.000000 102 102 102 1.0
2 -0.967213 -1.000000 1.935501 102 102 102 1.0
3 -0.934426 -1.000000 1.873152 102 102 102 1.0
4 -0.901639 -1.000000 1.812953 102 102 102 1.0
5 -0.868852 -1.000000 1.754905 102 102 102 1.0
6 -0.836066 -1.000000 1.699006 102 102 102 1.0
7 -0.803279 -1.000000 1.645257 102 102 102 1.0
8 -0.770492 -1.000000 1.593658 102 102 102 1.0
9 -0.737705 -1.000000 1.544209 102 102 102 1.0
10 -0.704918 -1.000000 1.496909 102 102 102 1.0
11 -0.672131 -1.000000 1.451760 102 102 102 1.0
12 -0.639344 -1.000000 1.408761 102 102 102 1.0
13 -0.606557 -1.000000 1.367912 102 102 102 1.0
14 -0.573770 -1.000000 1.329213 102 102 102 1.0
15 -0.540984 -1.000000 1.292663 102 102 102 1.0
16 -0.508197 -1.000000 1.258264 102 102 102 1.0
17 -0.475410 -1.000000 1.226014 102 102 102 1.0
18 -0.442623 -1.000000 1.195915 102 102 102 1.0
19 -0.409836 -1.000000 1.167966 102 102 102 1.0
20 -0.377049 -1.000000 1.142166 102 102 102 1.0
21 -0.344262 -1.000000 1.118517 102 102 102 1.0
22 -0.311475 -1.000000 1.097017 102 102 102 1.0
23 -0.278689 -1.000000 1.077667 102 102 102 1.0
24 -0.245902 -1.000000 1.060468 102 102 102 1.0
25 -0.213115 -1.000000 1.045418 102 102 102 1.0
26 -0.180328 -1.000000 1.032518 102 102 102 1.0
27 -0.147541 -1.000000 1.021768 102 102 102 1.0
28 -0.114754 -1.000000 1.013168 102 102 102 1.0
29 -0.081967 -1.000000 1.006719 102 102 102 1.0
30 -0.049180 -1.000000 1.002419 102 102 102 1.0
31 -0.016393 -1.000000 1.000269 102 102 102 1.0
32 0.016393 -1.000000 1.000269 102 102 102 1.0
33 0.049180 -1.000000 1.002419 102 102 102 1.0
34 0.081967 -1.000000 1.006719 102 102 102 1.0
35 0.114754 -1.000000 1.013168 102 102 102 1.0
36 0.147541 -1.000000 1.021768 102 102 102 1.0
37 0.180328 -1.000000 1.032518 102 102 102 1.0
38 0.213115 -1.000000 1.045418 102 102 102 1.0
39 0.245902 -1.000000 1.060468 102 102 102 1.0
40 0.278689 -1.000000 1.077667 102 102 102 1.0
41 0.311475 -1.000000 1.097017 102 102 102 1.0
42 0.344262 -1.000000 1.118517 102 102 102 1.0
43 0.377049 -1.000000 1.142166 102 102 102 1.0
44 0.409836 -1.000000 1.167966 102 102 102 1.0
45 0.442623 -1.000000 1.195915 102 102 102 1.0
46 0.475410 -1.000000 1.226014 102 102 102 1.0
47 0.508197 -1.000000 1.258264 102 102 102 1.0
48 0.540984 -1.000000 1.292663 102 102 102 1.0
49 0.573770 -1.000000 1.329213 102 102 102 1.0
