# Image list with two lines of data per image:
#   IMAGE_ID, QW, QX, QY, QZ, TX, TY, TZ, CAMERA_ID, NAME
#   POINTS2D[] as (X, Y, POINT3D_ID)
1 0.05553896 0.96150453 0.01551907 0.26867011 -0.00000037 -0.00000007 6.00000048 1 view_001.jpg

2 0.02240631 0.86347383 0.01307120 0.50372617 -0.00000016 -0.00000000 6.00000000 2 view_002.jpg

3 0.28074107 0.92674980 0.07237520 0.23891651 -0.00000017 -0.00000047 6.00000000 3 view_003.jpg

4 0.15455610 -0.94612300 0.04587382 -0.28081894 0.00000039 -0.00000002 6.00000000 4 view_004.jpg

5 0.17918623 0.77128375 0.13820952 0.59490486 -0.00000000 0.00000000 6.00000000 5 view_005.jpg

6 0.13743834 0.99027189 0.00298757 0.02152605 0.00000002 0.00000010 6.00000048 6 view_006.jpg

7 0.16893502 -0.81487249 0.11255766 -0.54293145 0.00000017 -0.00000003 6.00000000 7 view_007.jpg

8 0.42351279 0.79833567 0.20063760 0.37820844 -0.00000000 0.00000000 6.00000048 8 view_008.jpg

9 0.18154467 -0.98261310 0.00706702 -0.03825036 -0.00000000 0.00000000 6.00000048 9 view_009.jpg

10 0.03157250 0.68133220 0.03385133 0.73050920 -0.00000000 0.00000000 5.99999952 10 view_010.jpg

11 0.35610520 0.93074082 -0.02970587 -0.07764128 0.00000003 0.00000024 5.99999952 11 view_011.jpg

12 0.36252283 -0.84620872 0.15378497 -0.35896823 -0.00000000 0.00000000 6.00000048 12 view_012.jpg

13 0.27011297 0.59531757 0.31266968 0.68911076 -0.00000000 0.00000000 6.00000000 13 view_013.jpg

14 0.01908620 -0.98531070 -0.00328663 0.16966952 -0.00000012 -0.00000001 6.00000048 14 view_014.jpg

15 0.14216671 -0.64113425 0.16326053 -0.73626184 -0.00000004 0.00000016 6.00000000 15 view_015.jpg

16 0.59356031 0.80399996 -0.02116803 -0.02867290 -0.00000000 0.00000000 6.00000048 16 view_016.jpg

17 0.40608949 -0.91377083 -0.00433965 0.00976494 0.00000001 0.00000000 5.99999952 17 view_017.jpg

18 0.09261219 0.51211374 0.15195882 0.84028032 -0.00000016 -0.00000014 6.00000000 18 view_018.jpg

19 0.21342943 0.92580328 -0.07008552 -0.30401345 -0.00000000 0.00000000 6.00000000 19 view_019.jpg

20 0.34575868 -0.63675334 0.32887955 -0.60566852 0.00000001 0.00000019 6.00000000 20 view_020.jpg

21 0.23833477 0.33334391 0.53053765 0.74202977 -0.00000000 0.00000012 5.99999952 21 view_021.jpg

22 0.21364846 -0.93354793 -0.06421032 0.28057019 0.00000020 0.00000013 5.99999952 22 view_022.jpg

23 0.05250984 -0.47010459 0.09780318 -0.87560204 -0.00000000 0.00000000 6.00000000 23 view_023.jpg

24 0.41145397 0.77143462 -0.22842395 -0.42827183 -0.00000000 0.00000000 5.99999952 24 view_024.jpg

