# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR
1 -0.026052 -0.823647 -0.677716 102 102 102 1.0
2 0.583166 -0.711423 -0.166039 102 102 102 1.0
3 0.062124 1.000000 -0.996141 102 102 102 1.0
4 -0.547094 0.198397 0.259951 102 102 102 1.0
5 -0.691383 -0.703407 -0.016771 102 102 102 1.0
6 -0.759519 -0.042084 0.575098 102 102 102 1.0
7 0.414830 0.326653 0.065381 102 102 102 1.0
8 0.038076 0.751503 -0.563307 102 102 102 1.0
9 0.102204 0.058116 0.007068 102 102 102 1.0
10 -0.290581 0.799599 -0.554921 102 102 102 1.0
11 0.935872 0.378758 0.732399 102 102 102 1.0
12 0.863727 0.643287 0.332208 102 102 102 1.0
13 -0.855711 0.847695 0.013655 102 102 102 1.0
14 -0.422846 -0.879759 -0.595178 102 102 102 1.0
15 0.759519 -0.414830 0.404786 102 102 102 1.0
16 0.490982 -0.519038 -0.028337 102 102 102 1.0
17 -0.254509 -0.959920 -0.856671 102 102 102 1.0
18 0.434870 -0.070140 0.184192 102 102 102 1.0
19 -0.867735 0.354709 0.627146 102 102 102 1.0
20 -1.000000 0.394790 0.844141 102 102 102 1.0
21 -0.839679 -0.190381 0.668817 102 102 102 1.0
22 -0.370741 -0.867735 -0.615516 102 102 102 1.0
23 -0.711423 -0.555110 0.197975 102 102 102 1.0
24 -0.755511 -0.603206 0.206939 102 102 102 1.0
25 -0.242485 0.090180 0.050666 102 102 102 1.0
26 -0.959920 -0.486974 0.684302 102 102 102 1.0
27 -0.466934 -0.458918 0.007422 102 102 102 1.0
28 -0.118236 -0.090180 0.005847 102 102 102 1.0
29 0.791583 0.154309 0.602793 102 102 102 1.0
30 -0.695391 0.587174 0.138795 102 102 102 1.0
31 0.342685 0.426854 -0.064771 102 102 102 1.0
32 -0.062124 -0.182365 -0.029397 102 102 102 1.0
33 0.759519 0.547094 0.277557 102 102 102 1.0
34 -0.158317 0.038076 0.023614 102 102 102 1.0
35 -0.779559 0.779559 0.000000 102 102 102 1.0
36 0.955912 0.671343 0.463066 102 102 102 1.0
37 -0.831663 -0.815631 0.026410 102 102 102 1.0
38 -0.418838 0.054108 0.172497 102 102 102 1.0
39 0.242485 0.426854 -0.123405 102 102 102 1.0
40 0.466934 0.763527 -0.364946 102 102 102 1.0
41 0.951904 0.410822 0.737346 102 102 102 1.0
42 -0.507014 -0.058116 0.253686 102 102 102 1.0
43 -0.707415 0.106212 0.489155 102 102 102 1.0
44 -0.382766 -0.715431 -0.365332 102 102 102 1.0
45 0.675351 -0.042084 0.454327 102 102 102 1.0
46 0.222445 0.987976 -0.926615 102 102 102 1.0
47 0.719439 0.294589 0.430810 102 102 102 1.0
48 0.482966 0.342685 0.115823 102 102 102 1.0
49 -0.030060 -0.058116 -0.002474 102 102 102 1.0
50 -0.218437 0.539078 -0.242891 102 102 102 1.0
51 0.310621 -0.106212 0.085204 102 102 102 1.0
52 -0.194389 -0.462926 -0.176513 102 102 102 1.0
53 -0.414830 -0.314629 0.073092 102 102 102 1.0
54 -0.030060 0.014028 0.000707 102 102 102 1.0
55 -0.182365 -0.539078 -0.257348 102 102 102 1.0
56 -0.859719 0.611222 0.365525 102 102 102 1.0
